airplane	aeroplane
airplanes	aeroplanes
analog	analogue
analogs	analogues
analyze	analyse
analyzed	analysed
analyzes	analyses
analyzing	analysing
anemia	anaemia
anemic	anaemic
anesthesia	anaesthesia
anesthetic	anaesthetic
anesthetics	anaesthetics
anesthetize	anaesthetise
anesthetized	anaesthetised
anesthetizes	anaesthetises
anesthetizing	anaesthetising
apologize	apologise
apologized	apologised
apologizes	apologises
apologizing	apologising
ardor	ardour
armor	armour
armored	armoured
artifact	artefact
artifacts	artefacts
authorize	authorise
authorized	authorised
authorizes	authorises
authorizing	authorising
behavior	behaviour
behaviors	behaviours
caliber	calibre
calibers	calibres
cancelation	cancellation
cancelations	cancellations
canceled	cancelled
canceling	cancelling
candor	candour
capitalize	capitalise
capitalized	capitalised
capitalizes	capitalises
capitalizing	capitalising
catalog	catalogue
catalogs	catalogues
categorize	categorise
categorized	categorised
categorizes	categorises
categorizing	categorising
center	centre
centers	centres
centering	centring
chili	chilli
civilization	civilisation
civilizations	civilisations
clamor	clamour
color	colour
colored	coloured
colorful	colourful
colorfully	colourfully
coloring	colouring
colorize	colourise
colorized	colourised
colorizes	colourises
colorizing	colourising
colors	colours
commercialize	commercialise
commercialized	commercialised
commercializes	commercialises
commercializing	commercialising
compartmentalize	compartmentalise
compartmentalized	compartmentalised
compartmentalizes	compartmentalises
compartmentalizing	compartmentalising
computerize	computerise
computerized	computerised
computerizes	computerises
computerizing	computerising
councilor	councillor
councilors	councillors
counseling	counselling
counselor	counsellor
counselors	counsellors
cozy	cosy
cozier	cosier
coziest	cosiest
crystallization	crystallisation
customize	customise
customized	customised
customizes	customises
customizing	customising
defense	defence
defenseless	defenceless
demeanor	demeanour
democratization	democratisation
dialed	dialled
dialing	dialling
dialog	dialogue
dialogs	dialogues
discolor	discolour
discolored	discoloured
discoloring	discolouring
discolors	discolours
disk	disc
disks	discs
distill	distil
distills	distils
draft	draught
drafts	draughts
drafty	draughty
emphasize	emphasise
emphasized	emphasised
emphasizes	emphasises
emphasizing	emphasising
encyclopedia	encyclopaedia
encyclopedias	encyclopaedias
endeavor	endeavour
endeavors	endeavours
enroll	enrol
enrollment	enrolment
enrollments	enrolments
epaulet	epaulette
epaulets	epaulettes
esophagus	oesophagus
esthetic	aesthetic
esthetics	aesthetics
eulogize	eulogise
eulogized	eulogised
eulogizes	eulogises
eulogizing	eulogising
favor	favour
favored	favoured
favorite	favourite
favorites	favourites
favoring	favouring
favors	favours
fiber	fibre
fibers	fibres
fictionalization	fictionalisation
finalize	finalise
finalized	finalised
finalizes	finalises
finalizing	finalising
flavor	flavour
flavored	flavoured
flavoring	flavouring
flavors	flavours
fetus	foetus
fetuses	foetuses
fulfill	fulfil
fulfillment	fulfilment
fulfillments	fulfilments
galvanize	galvanise
galvanized	galvanised
galvanizes	galvanises
galvanizing	galvanising
gray	grey
grays	greys
harbor	harbour
harbored	harboured
harboring	harbouring
harbors	harbours
harmonize	harmonise
harmonized	harmonised
harmonizes	harmonises
harmonizing	harmonising
honor	honour
honorable	honourable
honored	honoured
honoring	honouring
honors	honours
humor	humour
humored	humoured
humoring	humouring
humors	humours
idealization	idealisation
idolize	idolise
idolized	idolised
idolizes	idolises
idolizing	idolising
immobilization	immobilisation
industrialization	industrialisation
initialize	initialise
initialized	initialised
initializes	initialises
initializing	initialising
installment	instalment
installments	instalments
jail	gaol
jails	gaols
judgment	judgement
judgments	judgements
labor	labour
labored	laboured
laborer	labourer
laborers	labourers
laboring	labouring
labors	labours
lackluster	lacklustre
legalization	legalisation
legalize	legalise
legalized	legalised
legalizes	legalises
legalizing	legalising
legitimize	legitimise
legitimized	legitimised
legitimizes	legitimises
legitimizing	legitimising
leukemia	leukaemia
libelous	libellous
license	licence
licenses	licences
linearization	linearisation
lionize	lionise
lionized	lionised
lionizes	lionises
lionizing	lionising
liter	litre
liters	litres
localization	localisation
lodgment	lodgement
lodgments	lodgements
luster	lustre
magnetize	magnetise
magnetized	magnetised
magnetizes	magnetises
magnetizing	magnetising
maneuver	manoeuvre
maneuvered	manoeuvred
maneuvering	manoeuvring
maneuvers	manoeuvres
marvelous	marvellous
marvelously	marvellously
materialization	materialisation
maximize	maximise
maximized	maximised
maximizes	maximises
maximizing	maximising
meager	meagre
mechanization	mechanisation
memorize	memorise
memorized	memorised
memorizes	memorises
memorizing	memorising
meter	metre
meters	metres
minimize	minimise
minimized	minimised
minimizes	minimises
minimizing	minimising
misbehavior	misbehaviour
modeling	modelling
modeled	modelled
mold	mould
molded	moulded
molding	moulding
molds	moulds
monolog	monologue
monologs	monologues
moralize	moralise
moralized	moralised
moralizes	moralises
moralizing	moralising
neighbor	neighbour
neighborhood	neighbourhood
neighborhoods	neighbourhoods
neighboring	neighbouring
neighbors	neighbours
neutralization	neutralisation
normalization	normalisation
odor	odour
odors	odours
offense	offence
offenses	offences
omelet	omelette
omelets	omelettes
optimize	optimise
optimized	optimised
optimizes	optimises
optimizing	optimising
organization	organisation
organizations	organisations
organize	organise
organized	organised
organizer	organiser
organizers	organisers
organizes	organises
organizing	organising
orthopedic	orthopaedic
orthopedics	orthopaedics
paleontology	palaeontology
pediatric	paediatric
pediatrics	paediatrics
pedophile	paedophile
pedophiles	paedophiles
plow	plough
plowed	ploughed
plowing	ploughing
plowman	ploughman
plowmen	ploughmen
plows	ploughs
polarization	polarisation
politicization	politicisation
popularization	popularisation
practice	practise
practiced	practised
practices	practises
practicing	practising
pretense	pretence
primeval	primaeval
prioritize	prioritise
prioritized	prioritised
prioritizes	prioritises
prioritizing	prioritising
program	programme
programs	programmes
realization	realisation
realizations	realisations
realize	realise
realized	realised
realizes	realises
realizing	realising
recognize	recognise
recognized	recognised
recognizes	recognises
recognizing	recognising
rhapsodize	rhapsodise
rhapsodized	rhapsodised
rhapsodizes	rhapsodises
rhapsodizing	rhapsodising
rigor	rigour
rigors	rigours
ritualized	ritualised
saber	sabre
sabers	sabres
sanitize	sanitise
sanitized	sanitised
sanitizes	sanitises
sanitizing	sanitising
satirize	satirise
satirized	satirised
satirizes	satirises
satirizing	satirising
savior	saviour
saviors	saviours
savor	savour
savored	savoured
savoring	savouring
savors	savours
skeptic	sceptic
skeptical	sceptical
skeptically	sceptically
skepticism	scepticism
skeptics	sceptics
smolder	smoulder
smoldered	smouldered
smoldering	smouldering
smolders	smoulders
snuck	sneaked
somber	sombre
specialization	specialisation
specialize	specialise
specialized	specialised
specializes	specialises
specializing	specialising
standardization	standardisation
story	storey
stories	storeys
sulfate	sulphate
sulfates	sulphates
sulfur	sulphur
summarize	summarise
summarized	summarised
summarizes	summarises
summarizing	summarising
symbolize	symbolise
symbolized	symbolised
symbolizes	symbolises
symbolizing	symbolising
synchronize	synchronise
synchronized	synchronised
synchronizes	synchronises
synchronizing	synchronising
theater	theatre
theaters	theatres
tire	tyre
tires	tyres
tranquilize	tranquillise
tranquilized	tranquillised
tranquilizer	tranquilliser
tranquilizers	tranquillisers
tranquilizes	tranquillises
tranquilizing	tranquillising
traveled	travelled
traveler	traveller
travelers	travellers
traveling	travelling
tumor	tumour
tumors	tumours
tyrannize	tyrannise
tyrannized	tyrannised
tyrannizes	tyrannises
tyrannizing	tyrannising
unauthorized	unauthorised
uncategorized	uncategorised
underutilized	underutilised
valor	valour
vandalize	vandalise
vandalized	vandalised
vandalizes	vandalises
vandalizing	vandalising
vapor	vapour
vapors	vapours
verbalize	verbalise
verbalized	verbalised
verbalizes	verbalises
verbalizing	verbalising
victimization	victimisation
vigor	vigour
visualization	visualisation
visualize	visualise
visualized	visualised
visualizes	visualises
visualizing	visualising
wagon	waggon
wagons	waggons
whiskey	whisky
willful	wilful
woolen	woollen
yogurt	yoghurt
